,hour,rentals
0,2023-01-01 00:00:00,134
1,2023-01-01 01:00:00,196
2,2023-01-01 02:00:00,181
3,2023-01-01 03:00:00,80
4,2023-01-01 04:00:00,26
5,2023-01-01 05:00:00,21
6,2023-01-01 06:00:00,38
7,2023-01-01 07:00:00,45
8,2023-01-01 08:00:00,92
9,2023-01-01 09:00:00,190
10,2023-01-01 10:00:00,309
11,2023-01-01 11:00:00,421
12,2023-01-01 12:00:00,547
13,2023-01-01 13:00:00,688
14,2023-01-01 14:00:00,679
15,2023-01-01 15:00:00,777
16,2023-01-01 16:00:00,760
17,2023-01-01 17:00:00,506
18,2023-01-01 18:00:00,335
19,2023-01-01 19:00:00,270
20,2023-01-01 20:00:00,156
21,2023-01-01 21:00:00,143
22,2023-01-01 22:00:00,112
23,2023-01-01 23:00:00,81
24,2023-01-02 00:00:00,59
25,2023-01-02 01:00:00,17
26,2023-01-02 02:00:00,12
27,2023-01-02 03:00:00,11
28,2023-01-02 04:00:00,8
29,2023-01-02 05:00:00,28
30,2023-01-02 06:00:00,41
31,2023-01-02 07:00:00,78
32,2023-01-02 08:00:00,138
33,2023-01-02 09:00:00,249
34,2023-01-02 10:00:00,360
35,2023-01-02 11:00:00,594
36,2023-01-02 12:00:00,732
37,2023-01-02 13:00:00,743
38,2023-01-02 14:00:00,744
39,2023-01-02 15:00:00,810
40,2023-01-02 16:00:00,770
41,2023-01-02 17:00:00,577
42,2023-01-02 18:00:00,401
43,2023-01-02 19:00:00,289
44,2023-01-02 20:00:00,219
45,2023-01-02 21:00:00,159
46,2023-01-02 22:00:00,145
47,2023-01-02 23:00:00,56
48,2023-01-03 00:00:00,27
49,2023-01-03 01:00:00,14
50,2023-01-03 02:00:00,9
51,2023-01-03 03:00:00,4
52,2023-01-03 04:00:00,22
53,2023-01-03 05:00:00,80
54,2023-01-03 06:00:00,175
55,2023-01-03 07:00:00,415
56,2023-01-03 08:00:00,666
57,2023-01-03 09:00:00,364
58,2023-01-03 10:00:00,243
59,2023-01-03 11:00:00,310
60,2023-01-03 12:00:00,285
61,2023-01-03 13:00:00,341
62,2023-01-03 14:00:00,475
63,2023-01-03 15:00:00,510
64,2023-01-03 16:00:00,736
65,2023-01-03 17:00:00,928
66,2023-01-03 18:00:00,696
67,2023-01-03 19:00:00,466
68,2023-01-03 20:00:00,308
69,2023-01-03 21:00:00,228
70,2023-01-03 22:00:00,165
71,2023-01-03 23:00:00,92
72,2023-01-04 00:00:00,47
73,2023-01-04 01:00:00,31
74,2023-01-04 02:00:00,12
75,2023-01-04 03:00:00,7
76,2023-01-04 04:00:00,16
77,2023-01-04 05:00:00,78
78,2023-01-04 06:00:00,201
79,2023-01-04 07:00:00,478
80,2023-01-04 08:00:00,843
81,2023-01-04 09:00:00,454
82,2023-01-04 10:00:00,345
83,2023-01-04 11:00:00,306
84,2023-01-04 12:00:00,379
85,2023-01-04 13:00:00,267
86,2023-01-04 14:00:00,344
87,2023-01-04 15:00:00,445
88,2023-01-04 16:00:00,610
89,2023-01-04 17:00:00,938
90,2023-01-04 18:00:00,703
91,2023-01-04 19:00:00,477
92,2023-01-04 20:00:00,329
93,2023-01-04 21:00:00,236
94,2023-01-04 22:00:00,165
95,2023-01-04 23:00:00,80
96,2023-01-05 00:00:00,27
97,2023-01-05 01:00:00,24
98,2023-01-05 02:00:00,7
99,2023-01-05 03:00:00,10
100,2023-01-05 04:00:00,16
101,2023-01-05 05:00:00,68
102,2023-01-05 06:00:00,186
103,2023-01-05 07:00:00,434
104,2023-01-05 08:00:00,743
105,2023-01-05 09:00:00,455
106,2023-01-05 10:00:00,290
107,2023-01-05 11:00:00,324
108,2023-01-05 12:00:00,397
109,2023-01-05 13:00:00,401
110,2023-01-05 14:00:00,507
111,2023-01-05 15:00:00,600
112,2023-01-05 16:00:00,767
113,2023-01-05 17:00:00,1010
114,2023-01-05 18:00:00,798
115,2023-01-05 19:00:00,471
116,2023-01-05 20:00:00,355
117,2023-01-05 21:00:00,221
118,2023-01-05 22:00:00,200
119,2023-01-05 23:00:00,98
120,2023-01-06 00:00:00,36
121,2023-01-06 01:00:00,16
122,2023-01-06 02:00:00,11
123,2023-01-06 03:00:00,12
124,2023-01-06 04:00:00,18
125,2023-01-06 05:00:00,59
126,2023-01-06 06:00:00,173
127,2023-01-06 07:00:00,332
128,2023-01-06 08:00:00,509
129,2023-01-06 09:00:00,358
130,2023-01-06 10:00:00,272
131,2023-01-06 11:00:00,311
132,2023-01-06 12:00:00,365
133,2023-01-06 13:00:00,352
134,2023-01-06 14:00:00,362
135,2023-01-06 15:00:00,464
136,2023-01-06 16:00:00,630
137,2023-01-06 17:00:00,756
138,2023-01-06 18:00:00,553
139,2023-01-06 19:00:00,409
140,2023-01-06 20:00:00,217
141,2023-01-06 21:00:00,207
142,2023-01-06 22:00:00,134
143,2023-01-06 23:00:00,163
144,2023-01-07 00:00:00,122
145,2023-01-07 01:00:00,95
146,2023-01-07 02:00:00,61
147,2023-01-07 03:00:00,27
148,2023-01-07 04:00:00,8
149,2023-01-07 05:00:00,18
150,2023-01-07 06:00:00,41
151,2023-01-07 07:00:00,89
152,2023-01-07 08:00:00,205
153,2023-01-07 09:00:00,355
154,2023-01-07 10:00:00,422
155,2023-01-07 11:00:00,533
156,2023-01-07 12:00:00,622
157,2023-01-07 13:00:00,673
158,2023-01-07 14:00:00,673
159,2023-01-07 15:00:00,659
160,2023-01-07 16:00:00,676
161,2023-01-07 17:00:00,530
162,2023-01-07 18:00:00,370
163,2023-01-07 19:00:00,295
164,2023-01-07 20:00:00,200
165,2023-01-07 21:00:00,166
166,2023-01-07 22:00:00,149
167,2023-01-07 23:00:00,133
168,2023-01-08 00:00:00,126
169,2023-01-08 01:00:00,91
170,2023-01-08 02:00:00,92
171,2023-01-08 03:00:00,32
172,2023-01-08 04:00:00,12
173,2023-01-08 05:00:00,14
174,2023-01-08 06:00:00,23
175,2023-01-08 07:00:00,63
176,2023-01-08 08:00:00,121
177,2023-01-08 09:00:00,259
178,2023-01-08 10:00:00,349
179,2023-01-08 11:00:00,428
180,2023-01-08 12:00:00,510
181,2023-01-08 13:00:00,452
182,2023-01-08 14:00:00,465
183,2023-01-08 15:00:00,480
184,2023-01-08 16:00:00,427
185,2023-01-08 17:00:00,330
186,2023-01-08 18:00:00,298
187,2023-01-08 19:00:00,224
188,2023-01-08 20:00:00,140
189,2023-01-08 21:00:00,107
190,2023-01-08 22:00:00,74
191,2023-01-08 23:00:00,59
192,2023-01-09 00:00:00,15
193,2023-01-09 01:00:00,11
194,2023-01-09 02:00:00,8
195,2023-01-09 03:00:00,7
196,2023-01-09 04:00:00,7
197,2023-01-09 05:00:00,49
198,2023-01-09 06:00:00,172
199,2023-01-09 07:00:00,374
200,2023-01-09 08:00:00,576
201,2023-01-09 09:00:00,347
202,2023-01-09 10:00:00,203
203,2023-01-09 11:00:00,242
204,2023-01-09 12:00:00,334
205,2023-01-09 13:00:00,313
206,2023-01-09 14:00:00,348
207,2023-01-09 15:00:00,441
